feature,count,mean,median,std,min,max
unmentioned_features,17153,5.222584970559086,5.0,1.1048192689204546,2.0,9.0
nearest_real_distance,17153,0.6108552439806448,1.0,0.6295292396103752,0.0,2.0
num_changed_characteristics,17153,0.9649623972482948,1.0,0.9490256197327753,0.0,2.0
source_frequency,17153,1.7058240541013234,0.0,2.460101256308238,0.0,7.0
evidence_score,17153,87.46092228764648,98.2,17.37165840875355,45.6,100.0
source_frequency_score,17153,0.2436891505859033,0.0,0.3514430366154625,0.0,1.0
real_proximity_score,17153,0.6945723780096776,0.5,0.3147646198051876,0.0,1.0
low_change_score,17153,0.5175188013758526,0.5,0.47451280986638766,0.0,1.0
observed_configuration_score,17153,0.46843117821955343,0.0,0.49901696058113904,0.0,1.0
evidence_score_normalized,17153,0.7695022479346778,0.9669117647058824,0.3193319560432638,0.0,1.0
synthetic_engineer_utility,17153,0.6056642444371084,0.4850232198142415,0.2581765953254246,0.18269156346749227,0.968421052631579
synthetic_engineer_score,17153,0.6056647429340938,0.4850239089472415,0.25817659402742554,0.18269166676949228,0.968421978072579
