rfq_id,rank,canonical_configuration_id,package_context,score,matches,contradictions,coverage,is_ground_truth
RFQ731-000001,1,CFG731_9a0f0b26c7f24725,x731,43.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,2,CFG731_83f956404d04e6cd,x731,43.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,3,CFG731_399690ce112d8d2a,x731,43.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,4,CFG731_02ec1e408c44cf5d,x731,43.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,5,CFG731_142da525ddb90041,x731,43.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,6,CFG731_eee37571734035ae,x731,43.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,7,CFG731_5cfa203ca7029f1c,x731,42.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,8,CFG731_40e06ca56bd88fa1,x731,42.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,9,CFG731_d27f5f5f307014a8,x731,42.733333333333334,13,1,0.8666666666666667,False
RFQ731-000001,10,CFG731_0598733818949fde,x731,42.733333333333334,13,1,0.8666666666666667,False
RFQ731-000002,1,CFG731_0fbee36816b7af98,x731,50.86666666666667,14,1,0.9333333333333333,False
RFQ731-000002,2,CFG731_9cb3c996fff3863c,x731,50.86666666666667,14,1,0.9333333333333333,False
RFQ731-000002,3,CFG731_1af3f9470bd904d5,x731,50.86666666666667,14,1,0.9333333333333333,False
RFQ731-000002,4,CFG731_6bdadac99b2f7b39,x731,47.733333333333334,13,1,0.8666666666666667,False
RFQ731-000002,5,CFG731_8153d67c519453a2,x731,47.733333333333334,13,1,0.8666666666666667,False
RFQ731-000002,6,CFG731_27a6a5d76bec9515,x731,47.733333333333334,13,1,0.8666666666666667,False
RFQ731-000002,7,CFG731_9228cc48e333917c,x731,46.733333333333334,13,1,0.8666666666666667,False
RFQ731-000002,8,CFG731_2e57977cf2dd500a,x731,46.733333333333334,13,1,0.8666666666666667,False
RFQ731-000002,9,CFG731_8ff92e2888b6b13f,x731,46.733333333333334,13,1,0.8666666666666667,False
RFQ731-000002,10,CFG731_b74fb5418dad3b38,x731,46.733333333333334,13,1,0.8666666666666667,False
RFQ731-000003,1,CFG731_214b093bf98ca9ef,x731,48.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,2,CFG731_5d88e63d941ec6fd,x731,48.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,3,CFG731_b4987f1c95e91d0d,x731,48.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,4,CFG731_8d9f29ebcd8f04bd,x731,48.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,5,CFG731_24a2c6ef94654845,x731,48.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,6,CFG731_357a7724550c556f,x731,47.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,7,CFG731_efc9d6b915117e15,x731,47.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,8,CFG731_a61306c90e862e5e,x731,47.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,9,CFG731_da02526d254e2e35,x731,47.84615384615385,12,0,0.9230769230769231,False
RFQ731-000003,10,CFG731_b1531976c0d80b4a,x731,47.84615384615385,12,0,0.9230769230769231,False
RFQ731-000004,1,CFG731_515a31451814aae9,G731ST-LT,44.0,11,0,1.0,False
RFQ731-000004,2,CFG731_e03b41992c837b34,G731ST-LT,44.0,11,0,1.0,False
RFQ731-000004,3,CFG731_750dd83a06ba43cb,G731ST-LT,44.0,11,0,1.0,False
RFQ731-000004,4,CFG731_ae877a3b18b65d0a,G731ST-LT,44.0,11,0,1.0,False
RFQ731-000004,5,CFG731_455da2f832a6b66d,G731ST-LT,44.0,11,0,1.0,False
RFQ731-000004,6,CFG731_8b6ed3cfa9ed1e59,G731ST-LT,44.0,11,0,1.0,False
RFQ731-000004,7,CFG731_996314000fcfec4b,G731ST-LT,44.0,11,0,1.0,False
RFQ731-000004,8,CFG731_98bb5036a27a91a8,G731ST-LT,44.0,11,0,1.0,False
