rfq_id,mode,rank,canonical_configuration_id,package_context,score,positive_score,negative_score,matched_requirements
RFQ731-000001,V8_EXTRACTED,1,CFG731_9a0f0b26c7f24725,x731,21.718095812625016,33.76271614618715,12.044620333562133,13
RFQ731-000001,V8_EXTRACTED,2,CFG731_83f956404d04e6cd,x731,21.718095812625016,33.76271614618715,12.044620333562133,13
RFQ731-000001,V8_EXTRACTED,3,CFG731_399690ce112d8d2a,x731,21.718095812625016,33.76271614618715,12.044620333562133,13
RFQ731-000001,V8_EXTRACTED,4,CFG731_02ec1e408c44cf5d,x731,21.718095812625016,33.76271614618715,12.044620333562133,13
RFQ731-000001,V8_EXTRACTED,5,CFG731_142da525ddb90041,x731,21.718095812625016,33.76271614618715,12.044620333562133,13
RFQ731-000001,V8_EXTRACTED,6,CFG731_eee37571734035ae,x731,21.718095812625016,33.76271614618715,12.044620333562133,13
RFQ731-000001,V8_EXTRACTED,7,CFG731_5cfa203ca7029f1c,x731,20.676672593458214,33.299861382113015,12.6231887886548,13
RFQ731-000001,V8_EXTRACTED,8,CFG731_40e06ca56bd88fa1,x731,20.676672593458214,33.299861382113015,12.6231887886548,13
RFQ731-000001,V8_EXTRACTED,9,CFG731_d27f5f5f307014a8,x731,20.676672593458214,33.299861382113015,12.6231887886548,13
RFQ731-000001,V8_EXTRACTED,10,CFG731_0598733818949fde,x731,20.676672593458214,33.299861382113015,12.6231887886548,13
RFQ731-000002,V8_EXTRACTED,1,CFG731_0fbee36816b7af98,x731,30.377743210929502,38.57472059399729,8.196977383067791,14
RFQ731-000002,V8_EXTRACTED,2,CFG731_9cb3c996fff3863c,x731,30.377743210929502,38.57472059399729,8.196977383067791,14
RFQ731-000002,V8_EXTRACTED,3,CFG731_1af3f9470bd904d5,x731,30.377743210929502,38.57472059399729,8.196977383067791,14
RFQ731-000002,V8_EXTRACTED,4,CFG731_66d08fe5ae299557,x731,26.007301117665413,36.63230188587992,10.625000768214505,13
RFQ731-000002,V8_EXTRACTED,5,CFG731_30ccf87da13edf1e,x731,26.007301117665413,36.63230188587992,10.625000768214505,13
RFQ731-000002,V8_EXTRACTED,6,CFG731_6bdadac99b2f7b39,x731,25.596266821557812,36.44961997649876,10.853353154940953,13
RFQ731-000002,V8_EXTRACTED,7,CFG731_8153d67c519453a2,x731,25.596266821557812,36.44961997649876,10.853353154940953,13
RFQ731-000002,V8_EXTRACTED,8,CFG731_27a6a5d76bec9515,x731,25.596266821557812,36.44961997649876,10.853353154940953,13
RFQ731-000002,V8_EXTRACTED,9,CFG731_2e57977cf2dd500a,x731,25.45815036020958,36.388234882566216,10.930084522356633,13
RFQ731-000002,V8_EXTRACTED,10,CFG731_b74fb5418dad3b38,x731,25.31841149717141,36.326128721215916,11.007717224044509,13
RFQ731-000003,V8_EXTRACTED,1,CFG731_214b093bf98ca9ef,x731,30.665950882718093,34.51359383321243,3.8476429504943415,12
RFQ731-000003,V8_EXTRACTED,2,CFG731_5d88e63d941ec6fd,x731,30.665950882718093,34.51359383321243,3.8476429504943415,12
