synthetic_id,package_context,nearest_real_distance,technical_novelty_score,exact_match_to_real,technical_novelty
SYN_731_000001,x731,3,0.15789473684210525,False,True
SYN_731_000002,x731,1,0.05263157894736842,False,True
SYN_731_000003,x731,1,0.05263157894736842,False,True
SYN_731_000004,x731,1,0.05263157894736842,False,True
SYN_731_000005,x731,2,0.10526315789473684,False,True
SYN_731_000006,x731,2,0.10526315789473684,False,True
SYN_731_000007,G731ST-HT,1,0.05263157894736842,False,True
SYN_731_000008,x731,2,0.10526315789473684,False,True
SYN_731_000009,x731,1,0.05263157894736842,False,True
SYN_731_000010,x731,1,0.05263157894736842,False,True
SYN_731_000011,x731,1,0.05263157894736842,False,True
SYN_731_000012,x731,1,0.05263157894736842,False,True
SYN_731_000013,x731,2,0.10526315789473684,False,True
SYN_731_000014,x731,1,0.05263157894736842,False,True
SYN_731_000015,x731,1,0.05263157894736842,False,True
SYN_731_000016,x731,2,0.10526315789473684,False,True
SYN_731_000017,x731,1,0.05263157894736842,False,True
SYN_731_000018,x731,1,0.05263157894736842,False,True
SYN_731_000019,x731,1,0.05263157894736842,False,True
SYN_731_000020,G731ST-HT,1,0.05263157894736842,False,True
SYN_731_000021,x731,1,0.05263157894736842,False,True
SYN_731_000022,x731,1,0.05263157894736842,False,True
SYN_731_000023,x731,1,0.05263157894736842,False,True
SYN_731_000024,G731ST-LT,1,0.05263157894736842,False,True
SYN_731_000025,x731,2,0.10526315789473684,False,True
SYN_731_000026,G731ST-HT,1,0.05263157894736842,False,True
SYN_731_000027,x731,2,0.10526315789473684,False,True
SYN_731_000028,G731CA,1,0.05263157894736842,False,True
SYN_731_000029,x731,1,0.05263157894736842,False,True
SYN_731_000030,x731,1,0.05263157894736842,False,True
SYN_731_000031,x731,1,0.05263157894736842,False,True
SYN_731_000032,x731,1,0.05263157894736842,False,True
SYN_731_000033,x731,1,0.05263157894736842,False,True
SYN_731_000034,x731,2,0.10526315789473684,False,True
SYN_731_000035,x731,2,0.10526315789473684,False,True
SYN_731_000036,x731,1,0.05263157894736842,False,True
