rfq_id,candidate_count,true_rank,top1,top3,top5,top10,mrr,ndcg5,predicted_configuration_id,true_configuration_id,error_bucket
RFQ731-000041,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_c3a136a8630f644d,CFG731_a56f1437a0b4ca31,6-10
RFQ731-000053,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_0836695982aaa38c,CFG731_1cbb464ec15ba84f,2
RFQ731-000058,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_400b0d973c930668,CFG731_70b6eaf9262ca4d0,2
RFQ731-000111,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_bbcb665ced67f8c3,CFG731_672458a8e716cdf8,3-5
RFQ731-000396,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_28454766bbc80cb9,CFG731_31d150421c4341a3,2
RFQ731-000427,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_ee8e327bbb737abf,CFG731_a7d2a5a9ae465701,2
RFQ731-000592,10,2,0,1,1,1,0.5,0.6309297535714575,CFG731_e0009be417f51ccd,CFG731_a40ab19ad6671fbe,6-10
RFQ731-000664,6,3,0,1,1,1,0.3333333333333333,0.5,CFG731_076cad91966d4c34,CFG731_c32627af59ba1526,6-10
RFQ731-000687,10,2,0,1,1,1,0.5,0.6309297535714575,CFG731_e0009be417f51ccd,CFG731_a40ab19ad6671fbe,6-10
RFQ731-000737,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_36c553adc9f5ebf3,CFG731_70aa5a64b0803277,3-5
RFQ731-000761,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_5e61ce3b60d15e11,CFG731_0db950a4979d2c52,6-10
RFQ731-000800,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_32b1041fd68aac23,CFG731_fb1ab4b34e9c8a75,6-10
RFQ731-000859,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_89772de94df83ba5,CFG731_04a53b6cc81d57d6,3-5
RFQ731-001063,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_03ef652e52353f2f,CFG731_bb61f56875b25c60,2
RFQ731-001070,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_6e096e946540ab4e,CFG731_ac8195f5cce7d089,2
RFQ731-001087,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_32b1041fd68aac23,CFG731_70b38ab75d3ca724,2
RFQ731-001112,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_f87794e7a98d0b11,CFG731_60f3aae8ede70fe0,6-10
RFQ731-001121,3,2,0,1,1,1,0.5,0.6309297535714575,CFG731_f7f0034a8b15f329,CFG731_c775e192f3d489e9,3-5
RFQ731-001127,4,4,0,0,1,1,0.25,0.43067655807339306,CFG731_3662a471d9ce3167,CFG731_2692d4e8945eb6ee,3-5
